순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,year
1,뚱딴지 명언 산책,김우영 글.그림,재능출판,1997,,9.78898E+12,77810,199.1,"5,396",2005
2,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,4,9.78895E+12,77720,711.4,"2,885",2005
3,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,5,9.78895E+12,77720,711.4,"2,805",2005
4,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,2,9.78895E+12,77720,711.4,"2,793",2005
5,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,6,9.78895E+12,77720,711.4,"2,770",2005
6,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,3,9.78895E+12,77720,711.4,"2,742",2005
7,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,1,9.78895E+12,77720,711.4,"2,637",2005
8,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;홍은영 그림,가나출판사,2000-2005,18,9.78899E+12,74840,219,"2,418",2005
9,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,2003,51,9.78898E+12,4840,843,"2,366",2005
10,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;홍은영 그림,가나출판사,2000-2005,17,9.78899E+12,74840,219,"2,291",2005
11,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,2003,55,9.78898E+12,4840,843,"2,234",2005
12,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,2003,52,9.78898E+12,4840,843,"2,213",2005
13,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,2003,53,9.78898E+12,4840,843,"2,201",2005
14,수수깡 안경:이영철 동화집,이영철 글;신가영 그림,한길사,2002,,9.78894E+12,74810,813.6,"2,191",2005
15,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,2003,54,9.78898E+12,4840,843,"2,183",2005
16,(21세기)먼나라 이웃나라,이원복 글·그림,김영사,2003-2004,10,9.78893E+12,77940,909,"2,149",2005
17,부자가 된 신데렐라 거지가 된 백설공주,그림나무 글·그림,북21을파소,2004,,9.78895E+12,77320,320,"2,115",2005
18,열세 살 키라:삶의 지혜를 찾아가는 성장 동화,보도 섀퍼 지음;최혜인 그림,북21 을파소,2004,,9.78895E+12,73850,194,"2,086",2005
19,나무,베르나르 베르베르 지음;이세욱 옮김,열린책들,2003,,9.78893E+12,3860,863,"2,082",2005
20,열 두 살의 여름,팻 브리슨 지음;이인숙 옮김,동산사,2005,,9.789E+12,73840,843,"2,051",2005
21,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;홍은영 그림,가나출판사,2000-2005,15,9.78899E+12,74840,219,"2,004",2005
22,(21세기)먼나라 이웃나라,이원복 글·그림,김영사,2003-2004,11,9.78893E+12,77940,909,"1,987",2005
23,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;홍은영 그림,가나출판사,2000-2005,16,9.78899E+12,74840,219,"1,986",2005
24,(하울의)움직이는 성,다이애나 윈 존스 지음,문학수첩 리틀북스,2004-2010,1,9.78899E+12,4840,843,"1,787",2005
25,똥 봉투 들고 학교 가는 날 ,글: 박성철 ;그림: 전복순,아이앤북,2010,,9.78899E+12,73810,813.7,"1,779",2005
